OTU,Transect,Range,Habitat,Max.abun,Kingdom,Phylum,Class,Order,Family,Genus,Species,SG,group
OTU97_2033,9,2880.084299,Understory,5.002577613,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,,,Specialist,Understory Specialist
OTU97_4157,9,1177.248064,Understory,3.960458747,Fungi,Ascomycota,,,,,,Specialist,Understory Specialist
OTU97_1367,4,247.9025979,Ground,8.381731269,Fungi,Ascomycota,Sordariomycetes,Xylariales,,,,Specialist,Ground Specialist
OTU97_2201,4,19.90551497,Ground,7.610185049,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,,,Specialist,Ground Specialist
OTU97_13510,6,12.0844747,Ground,3.910855002,Fungi,Ascomycota,Sordariomycetes,,,,,Specialist,Ground Specialist
OTU97_1805,9,12.03533881,Understory,3.943185251,Fungi,Ascomycota,,,,,,Specialist,Understory Specialist
OTU97_623,9,10.75506098,Ground,9.716259432,Fungi,Ascomycota,,,,,,Specialist,Ground Specialist
OTU97_14078,6,7.633638953,Ground,3.349305202,Fungi,Basidiomycota,,,,,,Specialist,Ground Specialist
OTU97_312,12,7.421520372,Understory,8.406472539,Fungi,Ascomycota,,,,,,Specialist,Understory Specialist
OTU97_4966,12,7.103479754,Ground,5.230688414,Fungi,Ascomycota,Leotiomycetes,Helotiales,,,,Specialist,Ground Specialist
OTU97_715,12,6.912286932,Ground,10.52264101,Fungi,Basidiomycota,Agaricomycetes,Agaricales,,,,Specialist,Ground Specialist
OTU97_4930,4,6.275636458,Ground,5.917845032,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,,,Specialist,Ground Specialist
OTU97_9958,1,6.149676628,Ground,4.258979888,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,,,Specialist,Ground Specialist
OTU97_3081,6,5.907653932,Understory,6.59315295,Fungi,Basidiomycota,Tremellomycetes,Tremellales,,,,Specialist,Understory Specialist
OTU97_1812,12,5.71159194,Understory,3.822762425,Fungi,Ascomycota,Eurotiomycetes,,,,,Specialist,Understory Specialist
OTU97_9641,12,5.65711592,Ground,4.407266104,Fungi,Ascomycota,,,,,,Specialist,Ground Specialist
OTU97_8885,9,5.644797219,Understory,1.891744882,Fungi,Ascomycota,,,,,,Specialist,Understory Specialist
OTU97_490,1,5.505692651,Ground,10.21176923,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,,Specialist,Ground Specialist
OTU97_2258,6,5.451928464,Ground,8.228218186,Fungi,Basidiomycota,,,,,,Specialist,Ground Specialist
OTU97_2307,10,5.448282021,Ground,7.921499115,Fungi,Ascomycota,,,,,,Specialist,Ground Specialist
OTU97_6398,4,5.317284973,Understory,4.825238397,Fungi,Ascomycota,,,,,,Specialist,Understory Specialist
OTU97_3587,4,5.184248229,Ground,6.186996683,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreaceae,,,Specialist,Ground Specialist
OTU97_2085,9,5.181743742,Ground,8.064946406,Fungi,Glomeromycota,,,,,,Specialist,Ground Specialist
OTU97_1216,6,5.002164328,Ground,4.790669274,Fungi,Ascomycota,Leotiomycetes,,,,,Specialist,Ground Specialist
OTU97_2850,6,4.932539941,Ground,6.375513178,Fungi,Ascomycota,,,,,,Specialist,Ground Specialist
OTU97_18302,12,4.817991082,Ground,1.943220821,Fungi,Ascomycota,,,,,,Specialist,Ground Specialist
OTU97_5249,1,4.803320784,Understory,4.294330181,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,,,Specialist,Understory Specialist
OTU97_4229,10,4.758923785,Understory,2.052382558,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Cuniculitremaceae,,,Specialist,Understory Specialist
OTU97_5481,4,4.75291286,Ground,1.173930113,Fungi,Ascomycota,Sordariomycetes,,,,,Specialist,Ground Specialist
OTU97_6391,12,4.726220741,Understory,2.207072292,Fungi,Ascomycota,Sordariomycetes,Hypocreales,,,,Specialist,Understory Specialist
OTU97_7822,10,4.712478238,Ground,5.155830536,Fungi,Ascomycota,,,,,,Specialist,Ground Specialist
OTU97_2285,12,4.596657971,Understory,3.819787494,Fungi,Ascomycota,Eurotiomycetes,,,,,Specialist,Understory Specialist
OTU97_24745,9,4.593982587,Ground,1.565869512,Fungi,Basidiomycota,Agaricomycetes,,,,,Specialist,Ground Specialist
OTU97_18537,4,4.55780475,Ground,2.343141302,Fungi,Ascomycota,Sordariomycetes,Microascales,,,,Specialist,Ground Specialist
OTU97_6406,9,4.538824875,Ground,4.472973891,Fungi,Ascomycota,Eurotiomycetes,,,,,Specialist,Ground Specialist
OTU97_7231,1,4.424341402,Understory,2.208454881,Fungi,Basidiomycota,Agaricomycetes,,,,,Specialist,Understory Specialist
OTU97_3609,9,4.401553218,Ground,6.100731274,Fungi,Glomeromycota,,,,,,Specialist,Ground Specialist
OTU97_11529,4,4.389063353,Ground,3.709732472,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus,Glomus sp ,Specialist,Ground Specialist
OTU97_18410,4,4.379804594,Ground,2.295434451,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,,,Specialist,Ground Specialist
OTU97_3174,9,4.331277866,Understory,4.533803238,Fungi,Ascomycota,,,,,,Specialist,Understory Specialist
OTU97_4533,4,4.238646635,Ground,5.899210396,Fungi,Ascomycota,Dothideomycetes,,,,,Specialist,Ground Specialist
OTU97_636,9,4.238247155,Ground,9.879817417,Fungi,Basidiomycota,Agaricomycetes,,,,,Specialist,Ground Specialist
OTU97_3609,1,4.165891558,Ground,4.759525945,Fungi,Glomeromycota,,,,,,Specialist,Ground Specialist
OTU97_22217,9,4.128648787,Ground,1.934665306,Fungi,Ascomycota,,,,,,Specialist,Ground Specialist
OTU97_2639,4,4.127954156,Ground,7.022216153,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,,,Specialist,Ground Specialist
OTU97_2972,4,4.089574751,Ground,2.032636557,Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,,,Specialist,Ground Specialist
