OTU,Ground.abund,Ground.PA,Under.abund,Under.PA,Trns
OTU97_10008,2.95949137854786,2,5.51391000468479,3,1
OTU97_101,52.6845849379707,20,275.465577302151,35,1
OTU97_10214,10.3469561948511,5,6.34836102186886,3,1
OTU97_10237,5.24287012965376,2,5.25182460731713,2,1
OTU97_1028,23.2677224313572,11,66.7507525106032,21,1
OTU97_10282,12.863462210627,7,3.10228533777941,2,1
OTU97_1032,7.82590749792038,3,84.4751394390825,24,1
OTU97_1048,4.73162714774043,2,4.63748767576015,2,1
OTU97_10520,8.7236332709512,2,5.14455591591361,2,1
OTU97_10531,2.3401330507273,2,3.49775189457389,2,1
OTU97_1058,113.40964339632,30,53.3757678676973,14,1
OTU97_1059,29.5438808109114,6,7.96225222765031,4,1
OTU97_10769,1.9621012884568,2,9.80316066808181,5,1
OTU97_1077,63.9841403132285,22,46.3945013295054,17,1
OTU97_10823,4.57082954769686,2,12.7140137378386,4,1
OTU97_1084,74.2971562139946,19,4.63282083477756,2,1
OTU97_1088,30.9421288521078,11,140.516015252211,30,1
OTU97_10912,4.65927015895648,2,10.5515061396799,5,1
OTU97_1095,2.91277408389004,2,74.4798395594635,22,1
OTU97_11137,13.5290426755035,7,2.30015581896521,2,1
OTU97_11150,1.93436992991907,2,35.8676116283823,10,1
OTU97_11156,8.72371499729156,3,4.384975725027,2,1
OTU97_1116,9.62381919674881,2,21.1746708874566,6,1
OTU97_11206,3.158071104775,2,19.1019959378485,8,1
OTU97_11321,6.68482842078535,2,20.2669409444643,8,1
OTU97_114,10.2449292513346,5,50.8796038027523,17,1
OTU97_11595,9.65186734780983,4,6.6063086353708,3,1
OTU97_1160,6.78837603527334,4,10.0292568162826,4,1
OTU97_1162,2.79218318334541,2,126.473235954191,31,1
OTU97_1176,93.6338143676216,28,125.322143591112,31,1
OTU97_1181,41.4751388674572,17,188.895136691657,34,1
OTU97_1192,3.87612425641421,2,106.007421944225,30,1
OTU97_1198,3.43226003853501,2,27.4614468640439,9,1
OTU97_12,40.298133542139,15,331.477191925733,35,1
OTU97_1200,14.9788858733594,6,86.8354408317757,27,1
OTU97_1205,4.15649781599358,2,96.8257743810809,22,1
OTU97_1207,20.1373252791498,6,28.0531208898203,10,1
OTU97_121,1.47245054527867,2,106.375853502981,28,1
OTU97_12254,3.56513941624664,2,21.4865810843077,9,1
OTU97_12325,8.03404193609181,4,16.6045453133483,7,1
OTU97_1280,167.771819346583,31,26.8337072984929,8,1
OTU97_1293,14.2452652746526,2,76.8802072329945,22,1
OTU97_12975,4.88250647931475,2,5.2455909712917,2,1
OTU97_12978,50.7848021307273,21,9.03901603709878,5,1
OTU97_1334,37.4501710926636,13,34.2562909047166,8,1
OTU97_13417,3.14681575718131,2,3.40814238894206,2,1
OTU97_1343,6.39926127044768,3,23.4225895217612,7,1
OTU97_1344,45.1726884992746,12,31.9259741575076,14,1
OTU97_135,6.44265386854636,3,164.697824567111,34,1
OTU97_1379,39.0527706699046,13,156.472133892356,29,1
OTU97_138,49.4806031154755,16,40.7770549426696,13,1
OTU97_13929,10.1051323469623,5,8.58285903367193,3,1
OTU97_1399,37.9913319388176,14,43.3208506466727,13,1
