OTU,Transect,MantelR,MantelP,Mantel.y.intercept,MoranP,MoranZ
OTU97_101,12,0.312525360266024,0.002,1.34340639032768,4.22669788058272e-09,0.151258991377223
OTU97_10237,1,0.158437690774418,0.041,0.0643208627396578,0.695132884579909,-0.0377592834826488
OTU97_1024,12,0.206217632991244,0.003,1.69965236002026,0.000601957288838939,0.0758341378902376
OTU97_1027,4,0.366867811804997,0.001,1.51123602186851,0,0.273525345835021
OTU97_1028,10,0.186141127981791,0.003,1.95379739889765,9.03740260680408e-05,0.0876060877882797
OTU97_1031,10,0.256827701051342,0.002,1.06104093861275,4.47752945831326e-12,0.167448042332061
OTU97_1032,1,0.457949578573298,0.001,0.926272695624211,0,0.254123366072741
OTU97_1049,4,0.144759738922535,0.037,0.448482216655388,0.866964637317088,-0.0239479549593107
OTU97_1049,9,0.157542549420993,0.006,1.93042208950166,0.0359660810486861,0.0329623812840571
OTU97_1059,1,0.20943196532749,0.004,0.114469559927862,0.0442585841027074,0.0240780424217988
OTU97_106,9,0.256406732362469,0.001,1.5039001007357,1.64972702165755e-10,0.162753590661943
OTU97_1077,1,0.182049936079696,0.003,1.13206752405559,0.00405276535852495,0.056856375894265
OTU97_1077,9,0.0824802341844626,0.045,1.6137111451936,0.479067149452546,-0.00800004803016833
OTU97_10835,4,0.148732254816493,0.049,0.0320416798674174,0.649543650717469,-0.0375988244620244
OTU97_1096,10,0.169673050550542,0.019,0.0292987035659691,0.880741327501281,-0.0303361650789694
OTU97_1123,10,0.12311599500766,0.032,1.51644543777726,0.490102001453366,-0.00858608053065123
OTU97_1125,6,0.233995786266327,0.001,1.6785653662537,6.10052008909179e-11,0.162555199868035
OTU97_11321,1,0.178661822501238,0.011,0.519734877917582,0.132356574931759,0.0133580795443805
OTU97_11418,4,0.165751949153323,0.036,0.156294447923448,0.309702085763428,-0.00318804559036673
OTU97_1160,10,0.12115484654693,0.019,2.5095874243805,0.0101576888065644,0.0475682508826672
OTU97_1160,12,0.115953192496419,0.014,1.78573036957533,0.0616225213867234,0.0282150313943719
OTU97_1162,1,0.213811728709604,0.006,1.28304896947508,9.14059050671767e-09,0.139653147706691
OTU97_1162,4,0.411489974187225,0.001,0.514221774489902,0,0.228014162101234
OTU97_1162,10,0.128141516588105,0.013,1.77938551962039,0.000121172565046734,0.0850640860300265
OTU97_1176,4,0.187558204069255,0.004,0.798880416664812,7.29841933777564e-07,0.115454097894184
OTU97_1178,10,0.241018677109761,0.002,1.34123178054501,2.22044604925031e-16,0.208814579017879
OTU97_1192,1,0.331255253964549,0.001,1.05593937092529,3.55751206271293e-10,0.156821971075649
OTU97_1198,1,0.159101731923734,0.022,0.76371547916071,0.00273868380629883,0.0573373243188857
OTU97_1198,4,0.136491756748225,0.021,0.691699828918198,0.00315459528189632,0.057293181611893
OTU97_12,1,0.28991449962109,0.001,1.43882136462643,7.37632177560954e-13,0.184064575235779
OTU97_1205,4,0.164115636951346,0.013,1.93119088767565,1.48286004300058e-05,0.0982307544706828
OTU97_1207,1,0.207265144651249,0.008,0.673468667190391,0.00061839299820865,0.0705530698226478
OTU97_12131,4,0.175309745188604,0.013,0.356543088985088,0.000458115822551841,0.0705846206789776
OTU97_12254,1,0.171946371648633,0.017,0.574984836027872,1.94911858824032e-05,0.0941589206500276
OTU97_126,9,0.377316400550557,0.001,0.825289236177652,1.49860079901032e-09,0.141455137183086
OTU97_1293,1,0.104591103311422,0.042,1.86917300341216,0.000154786783056693,0.0838531881895102
