OTU,Ground.abund,Ground.PA,Under.abund,Under.PA,Trns
OTU97_1005,10.7010455382629,4,0,0,1
OTU97_1011,15.1919303409407,2,0,0,1
OTU97_10110,14.1059094990549,6,0,0,1
OTU97_1016,17.5537265780129,4,0,0,1
OTU97_1018,16.7062875836936,5,0,0,1
OTU97_10215,23.9603185420413,8,0,0,1
OTU97_10218,8.49807088512393,3,0,0,1
OTU97_10221,5.54131735072367,2,0,0,1
OTU97_10223,5.12835240947192,2,0,0,1
OTU97_10226,15.7220879555207,6,0,0,1
OTU97_1023,32.3936996396326,8,0,0,1
OTU97_10231,10.5542255877429,4,0,0,1
OTU97_10234,5.92167483618283,2,0,0,1
OTU97_10248,5.23304656381016,2,0,0,1
OTU97_10261,12.9241632917178,6,0,0,1
OTU97_10268,7.3513039853714,2,0,0,1
OTU97_10287,5.12387932584132,2,0,0,1
OTU97_103,4.32519902996125,3,0,0,1
OTU97_10317,4.08155214490233,2,0,0,1
OTU97_105,19.1207977827378,2,0,0,1
OTU97_1051,14.6556642369575,2,0,0,1
OTU97_10533,8.17306687264922,2,0,0,1
OTU97_1054,144.027190419454,29,0,0,1
OTU97_10567,9.67841925303442,5,0,0,1
OTU97_10568,4.00572064983985,2,0,0,1
OTU97_10569,8.31895113655529,3,0,0,1
OTU97_1068,41.392040506201,8,0,0,1
OTU97_10708,4.77479374465342,3,0,0,1
OTU97_1073,19.7195761470393,4,0,0,1
OTU97_10732,5.83092014667042,4,0,0,1
OTU97_108,19.0215311327644,6,0,0,1
OTU97_10811,6.25818525708235,3,0,0,1
OTU97_10812,14.4311106383582,4,0,0,1
OTU97_1082,19.1325050301157,7,0,0,1
OTU97_10821,6.21364338205385,2,0,0,1
OTU97_10826,8.09508580712279,2,0,0,1
OTU97_10829,12.5877681415863,4,0,0,1
OTU97_10840,1.38924917256319,2,0,0,1
OTU97_109,19.2641398904202,2,0,0,1
OTU97_1100,18.2580022574244,3,0,0,1
OTU97_1104,106.406345649643,31,0,0,1
OTU97_11048,4.41568667110413,2,0,0,1
OTU97_11060,4.08628885323383,2,0,0,1
OTU97_11134,6.19231920614777,2,0,0,1
OTU97_11135,15.5443830757345,6,0,0,1
OTU97_11144,10.9846077907217,3,0,0,1
OTU97_11151,9.73639846204686,4,0,0,1
OTU97_11154,16.3738011965922,5,0,0,1
OTU97_11157,6.42324618536312,2,0,0,1
OTU97_11160,17.7271836805184,8,0,0,1
OTU97_11182,4.54078699341873,3,0,0,1
OTU97_11187,3.35022962518085,2,0,0,1
OTU97_11312,8.01059922018703,3,0,0,1
OTU97_11363,4.75762755791968,3,0,0,1
OTU97_11392,13.7993834215896,5,0,0,1
OTU97_1146,33.7576132869506,7,0,0,1
OTU97_11487,15.2048535217992,5,0,0,1
OTU97_11488,22.3254519137661,12,0,0,1
OTU97_11489,6.56390595583179,2,0,0,1
OTU97_11497,7.18009185926549,2,0,0,1
OTU97_11499,24.9542228999201,9,0,0,1
OTU97_11512,6.06804648277282,3,0,0,1
OTU97_11515,7.97009882492247,3,0,0,1
OTU97_11519,10.7884523600856,4,0,0,1
OTU97_1153,105.378243962529,24,0,0,1
OTU97_11537,7.86438921878811,3,0,0,1
OTU97_11550,2.17075412472402,2,0,0,1
OTU97_11569,8.26425290312698,3,0,0,1
