OTU,Ground.abund,Ground.PA,Under.abund,Under.PA,Trns
OTU97_10023,0,0,16.9761170360667,8,1
OTU97_10027,0,0,9.62406631672875,5,1
OTU97_10034,0,0,5.51322756379576,2,1
OTU97_10041,0,0,4.48188014758698,2,1
OTU97_10062,0,0,9.49496097942738,4,1
OTU97_10162,0,0,3.95851503481015,2,1
OTU97_10217,0,0,11.8397540136375,4,1
OTU97_10229,0,0,15.5659418974076,6,1
OTU97_10230,0,0,12.0128736206766,5,1
OTU97_10249,0,0,9.38921352258942,5,1
OTU97_1038,0,0,9.55401583033161,3,1
OTU97_10473,0,0,9.24322530537701,5,1
OTU97_10475,0,0,7.70874363395378,3,1
OTU97_10523,0,0,11.6762137641161,4,1
OTU97_10524,0,0,11.9174293857374,4,1
OTU97_10532,0,0,14.5222067061343,5,1
OTU97_10539,0,0,14.7148301846976,7,1
OTU97_10573,0,0,10.0392615114359,3,1
OTU97_10655,0,0,2.96062377682768,2,1
OTU97_10742,0,0,5.94222315799015,2,1
OTU97_10784,0,0,3.94186215370311,2,1
OTU97_10825,0,0,14.7109688131725,6,1
OTU97_10833,0,0,3.73141806046533,2,1
OTU97_10887,0,0,4.62136570591282,2,1
OTU97_10897,0,0,19.0431823706039,5,1
OTU97_10953,0,0,3.60399751672032,2,1
OTU97_11056,0,0,3.85146661747803,2,1
OTU97_11070,0,0,3.15707262244992,2,1
OTU97_11090,0,0,4.32714323508442,2,1
OTU97_11092,0,0,4.14699984292433,2,1
OTU97_11111,0,0,5.67957835534397,2,1
OTU97_11140,0,0,6.35376539041842,2,1
OTU97_11141,0,0,4.26202960466818,2,1
OTU97_11149,0,0,6.18755322990577,2,1
OTU97_11173,0,0,4.16519748243473,2,1
OTU97_11179,0,0,3.15703307815002,2,1
OTU97_11202,0,0,7.83291098979348,3,1
OTU97_11280,0,0,12.4937181396877,5,1
OTU97_11301,0,0,5.5076037009113,3,1
OTU97_1131,0,0,26.0294153426143,10,1
OTU97_1132,0,0,43.1131693574117,12,1
OTU97_11320,0,0,5.90824348329423,3,1
OTU97_11322,0,0,5.28758611202151,2,1
OTU97_1141,0,0,6.95291891107905,3,1
OTU97_11423,0,0,4.36650286824431,2,1
OTU97_11429,0,0,10.937395378343,6,1
OTU97_1145,0,0,73.8523241152229,12,1
OTU97_11491,0,0,7.92371089513467,2,1
OTU97_11496,0,0,10.0702361519308,4,1
OTU97_11508,0,0,7.38646110522125,3,1
OTU97_11509,0,0,24.78970850235,10,1
OTU97_11543,0,0,3.6747468184174,3,1
OTU97_11553,0,0,3.81700469091063,2,1
OTU97_11665,0,0,5.11939961884503,2,1
OTU97_11685,0,0,5.36650528740079,2,1
OTU97_11834,0,0,5.46468843191911,2,1
OTU97_11835,0,0,9.08334948496663,4,1
OTU97_11915,0,0,5.841819870377,2,1
OTU97_11922,0,0,7.11800534116667,4,1
OTU97_11933,0,0,15.6086409373705,9,1
OTU97_11949,0,0,6.24375240662251,3,1
OTU97_11962,0,0,8.91936675073874,4,1
OTU97_11995,0,0,4.56920119542979,3,1
OTU97_1208,0,0,17.705958288708,7,1
OTU97_12119,0,0,6.43099684209192,2,1
OTU97_1213,0,0,77.6080115509031,19,1
OTU97_1220,0,0,17.638993911629,3,1
OTU97_12244,0,0,8.34184814377541,5,1
OTU97_12245,0,0,6.49943229851392,2,1
OTU97_123,0,0,56.2885443558933,14,1
OTU97_12323,0,0,5.44905821683165,2,1
OTU97_12369,0,0,3.28137456596483,2,1
OTU97_12379,0,0,2.72001327235769,2,1
OTU97_1241,0,0,5.39581393087448,2,1
OTU97_12414,0,0,13.3356195817782,7,1
OTU97_1242,0,0,86.184151447379,19,1
OTU97_12471,0,0,3.78622041426252,2,1
OTU97_12528,0,0,12.1584586430084,5,1
OTU97_12611,0,0,5.24329192151872,2,1
OTU97_1270,0,0,9.71414157259178,5,1
OTU97_12746,0,0,4.34900004497339,2,1
OTU97_12751,0,0,11.8552588728904,6,1
OTU97_1277,0,0,33.0932921484244,12,1
OTU97_12832,0,0,4.05403160450986,2,1
OTU97_12835,0,0,6.4902747891738,2,1
OTU97_12843,0,0,14.5858858907458,5,1
OTU97_12845,0,0,5.23906393110553,3,1
OTU97_12848,0,0,5.45347342649134,2,1
OTU97_12866,0,0,3.09662763930122,2,1
OTU97_12926,0,0,3.08818289035121,2,1
OTU97_12952,0,0,7.14621838613543,3,1
OTU97_1296,0,0,4.3624051140224,2,1
OTU97_13013,0,0,4.40336735229521,2,1
OTU97_13021,0,0,5.64167583265843,2,1
OTU97_13071,0,0,3.43529219009512,2,1
OTU97_1313,0,0,10.5055433380214,2,1
OTU97_1316,0,0,43.0248374715389,12,1
OTU97_13195,0,0,5.2109147918202,2,1
OTU97_1325,0,0,27.2802224516922,12,1
OTU97_13264,0,0,2.41710977729494,2,1
OTU97_13270,0,0,7.14350077594796,3,1
OTU97_13274,0,0,16.9964165336232,5,1
OTU97_1335,0,0,11.864229184545,3,1
OTU97_13364,0,0,7.6843759517541,3,1
OTU97_13376,0,0,7.76238350835911,4,1
OTU97_13378,0,0,17.1571693166408,7,1
OTU97_13379,0,0,7.25738689041422,3,1
OTU97_13380,0,0,5.03957052359841,2,1
OTU97_13381,0,0,23.791712596377,11,1
OTU97_13382,0,0,2.92178481467751,2,1
OTU97_13397,0,0,4.96043575086714,2,1
OTU97_1340,0,0,6.31712696046076,2,1
OTU97_13401,0,0,6.386204035447,2,1
OTU97_1342,0,0,6.39336956639922,3,1
OTU97_13504,0,0,3.64166678676089,2,1
OTU97_1352,0,0,14.3066823402458,7,1
OTU97_13576,0,0,4.64093347441948,2,1
OTU97_136,0,0,4.31309916131661,2,1
OTU97_1363,0,0,51.7238854085041,14,1
OTU97_1380,0,0,3.97220734903395,2,1
OTU97_13819,0,0,9.16019989011295,5,1
OTU97_13827,0,0,11.3595236615531,5,1
OTU97_13854,0,0,2.41642526331579,2,1
OTU97_1393,0,0,5.75117225295379,3,1
OTU97_13938,0,0,18.3642191996122,8,1
OTU97_13965,0,0,13.9576682067565,7,1
OTU97_13999,0,0,5.68515104921097,2,1
OTU97_14,0,0,11.0274242290623,5,1
OTU97_14049,0,0,6.53314439952905,3,1
OTU97_14059,0,0,4.64629677818109,3,1
OTU97_14120,0,0,4.86421440191445,2,1
OTU97_14417,0,0,4.50798253923486,2,1
OTU97_14451,0,0,9.46954850389554,5,1
OTU97_1456,0,0,58.2843967974026,16,1
OTU97_14581,0,0,4.20577117676968,2,1
OTU97_14582,0,0,6.02724412916259,3,1
OTU97_14592,0,0,8.37651149142751,3,1
OTU97_14607,0,0,7.64981587026721,5,1
OTU97_14610,0,0,10.4879078286473,4,1
OTU97_14628,0,0,6.50320575331865,2,1
OTU97_14630,0,0,4.79435630682429,2,1
OTU97_14633,0,0,5.95656302852335,2,1
OTU97_14634,0,0,8.43417205448018,4,1
OTU97_1465,0,0,114.276682118966,28,1
OTU97_14662,0,0,11.0317455591278,5,1
OTU97_1475,0,0,65.4076624001436,19,1
OTU97_14788,0,0,5.11471513882071,2,1
OTU97_14875,0,0,9.00784245977173,5,1
OTU97_14888,0,0,2.78400703130864,2,1
OTU97_15203,0,0,3.5468336092288,2,1
OTU97_1521,0,0,4.07805014827711,2,1
OTU97_15223,0,0,4.34672048259151,2,1
OTU97_1527,0,0,82.5513177513219,18,1
OTU97_15346,0,0,7.65486274566882,3,1
OTU97_1538,0,0,12.4056744676432,4,1
OTU97_15554,0,0,4.65792503568565,2,1
OTU97_157,0,0,8.98012902248971,4,1
OTU97_15761,0,0,5.21124837584321,2,1
OTU97_1577,0,0,5.10986689826144,2,1
OTU97_159,0,0,10.0891067130047,2,1
OTU97_1595,0,0,10.4204025960999,4,1
OTU97_16017,0,0,12.5188470854306,5,1
OTU97_1602,0,0,122.693207086706,32,1
